Cards,high card,pair,two pair,three of a kind,straight,flush,full house,four of a kind,straight flush
As Ah Kh Qs,0,4078,4020,798,389,169,512,34,0
8c 7c 6s 5c,1090,2598,1155,208,3782,1051,59,2,55
As Ks Qs 9c,2394,4420,1470,267,352,1028,41,1,27
As Ah Kh Kd,0,0,7473,0,33,89,2348,57,0
As Qs Js 0d,1517,3396,1374,239,2390,990,75,2,17
Kc 0c 7c 6d,2290,4348,1538,247,471,1040,64,2,0
As Ks Kh Qs,0,3473,3730,808,360,966,587,42,34
As Ks Kh Jd,0,4164,4039,777,394,87,514,25,0
8c 7c 6s 2d,2352,4446,1643,270,1126,81,76,3,3
0s 8s 8c 6s,0,3374,3877,758,404,994,538,27,28
8s 8c 7c 5s,0,3724,3938,820,753,190,546,26,3
Kc Jh 0c 4c,2226,4306,1453,232,683,1032,64,4,0
9c 8s 7c 6s,1263,2916,1253,210,4110,180,62,4,2
As Ks Qs Jh,1805,3527,1318,241,2010,1009,65,1,24
As Ks Qs 7d,2432,4291,1507,268,332,1091,50,1,28
As Qh Jh 8c,2595,4759,1518,246,742,81,56,2,1
Kc 8c 7c 4c,1168,2530,1134,182,235,4662,58,4,27
Ks Qs Js 5s,1112,2559,1083,192,335,4596,64,4,55
As Qc Jh 0d,1874,3748,1383,235,2694,0,62,4,0
Ks Kc 0c 4c,0,3692,3812,775,54,1043,592,31,1
Ah Ks Kh 7s,0,4280,4100,855,35,179,522,27,2
As Kd 0d 8c,2676,4868,1537,275,472,83,89,0,0
Kc Js 0c 7c,1967,4109,1525,281,949,1081,82,3,3
Ks Qs Qc Js,0,3209,3750,698,689,1031,546,28,49
As 0d 8c 6c,2796,4703,1584,274,491,76,75,1,0
Qc Jh 0d 8c,1779,3796,1362,268,2645,82,64,4,0
As Ks Qs Jc,1755,3534,1303,216,2050,1069,45,3,25
As Jh 8c 3s,2919,4954,1574,234,143,103,71,2,0
As Ah Kh 0h,0,3584,3741,705,358,1031,529,31,21
Ad 8s 7c 6s,2380,4478,1600,310,1072,94,63,3,0
As Ks Js 3d,2387,4418,1424,262,408,1011,65,0,25
Ks Qs Js 2c,2218,4187,1560,255,629,1022,69,5,55
Qh 8s 7c 6s,2370,4568,1526,265,1117,84,66,3,1
0c 8s 7c 6s,1747,3704,1360,232,2669,202,79,4,3
As Ah Kh 6s,0,4275,4152,814,41,185,506,26,1
As Ah 0d 8c,0,4218,4168,864,147,0,573,30,0
As Ah Ks 2c,0,4273,4120,853,68,95,565,26,0
As Kh 0d 8c,2846,4880,1483,262,447,0,75,7,0
